tags,title,idauthor,author
382,"['Z', 'D']",the hidden costs of control, p03698, michael kosfeld
383,"['O', 'F']",globalization and emerging markets: with or without crash?,p02077,helene rey
383,"['O', 'F']",globalization and emerging markets: with or without crash?, p04282, philippe martin
384,"['Z', 'D']",incentives and prosocial behavior,p02392,jean tirole
384,"['Z', 'D']",incentives and prosocial behavior, p04639, roland benabou
385,"['J', 'M']",in the right place at the wrong time: the role of firms and luck in young workers' careers,p04958,stefan bender
385,"['J', 'M']",in the right place at the wrong time: the role of firms and luck in young workers' careers, p05252, till von wachter
386,"['L', 'D']",storable good monopoly: the role of commitment,p00130,alessandro lizzeri
386,"['L', 'D']",storable good monopoly: the role of commitment, p02173, igal hendel
386,"['L', 'D']",storable good monopoly: the role of commitment, p04079, paolo dudine
387,['D'],"crises and prices: information aggregation, multiplicity, and volatility",p01879,george-marios angeletos
387,['D'],"crises and prices: information aggregation, multiplicity, and volatility", p02244, ivan werning
388,"['D', 'C']",cognition and behavior in two-person guessing games: an experimental study,p03761,miguel costa-gomes
388,"['D', 'C']",cognition and behavior in two-person guessing games: an experimental study, p05428, vincent crawford
389,"['D', 'E', 'F']",self-fulfilling currency crises: the role of interest rates,p00109,aleh tsyvinski
389,"['D', 'E', 'F']",self-fulfilling currency crises: the role of interest rates, p00467, arijit mukherji
389,"['D', 'E', 'F']",self-fulfilling currency crises: the role of interest rates, p00903, christian hellwig
390,"['N', 'J', 'K']",child labor and the labor supply of other household members: evidence from 1920 america,p03366,marco manacorda
391,"['J', 'C']",did unilateral divorce laws raise divorce rates? a reconciliation and new results,p02888,justin wolfers
392,"['J', 'D']",a new method of estimating risk aversion,p04390,raj chetty
393,"['H', 'E']",phased-in tax cuts and economic activity,p00947,christopher house
393,"['H', 'E']",phased-in tax cuts and economic activity, p03588, matthew shapiro
394,"['O', 'E']",the japanese saving rate,p00550,ayse imrohoroglu
394,"['O', 'E']",the japanese saving rate, p02895, kaiji chen
394,"['O', 'E']",the japanese saving rate, p04803, selahattin imrohoroglu
395,"['O', 'F']",how special is the special relationship? using the impact of u.s. r&d spillovers on u.k. firms as a test of technology sourcing,p02660,john van reenen
395,"['O', 'F']",how special is the special relationship? using the impact of u.s. r&d spillovers on u.k. firms as a test of technology sourcing, p04360, rachel griffith
395,"['O', 'F']",how special is the special relationship? using the impact of u.s. r&d spillovers on u.k. firms as a test of technology sourcing, p04693, rupert harrison
396,"['L', 'M', 'G']",declining volatility in the u.s. automobile industry,p01123,daniel vine
396,"['L', 'M', 'G']",declining volatility in the u.s. automobile industry, p05392, valerie ramey
397,"['Z', 'J', 'I']",empathy or antipathy? the impact of diversity,p01065,dan levy
397,"['Z', 'J', 'I']",empathy or antipathy? the impact of diversity, p01958, greg duncan
397,"['Z', 'J', 'I']",empathy or antipathy? the impact of diversity, p02263, jacque eccles
397,"['Z', 'J', 'I']",empathy or antipathy? the impact of diversity, p02559, johanne boisjoly
397,"['Z', 'J', 'I']",empathy or antipathy? the impact of diversity, p03699, michael kremer
398,['E'],competence implies credibility,p01935,giuseppe moscarini
399,"['N', 'L', 'O']",modeling the transition to a new economy: lessons from two technological revolutions,p00327,andrew atkeson
399,"['N', 'L', 'O']",modeling the transition to a new economy: lessons from two technological revolutions, p04119, patrick kehoe
400,"['G', 'E', 'F']",the cross section of foreign currency risk premia and consumption growth risk,p00051,adrien verdelhan
400,"['G', 'E', 'F']",the cross section of foreign currency risk premia and consumption growth risk, p02035, hanno lustig
401,"['H', 'E', 'D']",inefficiency in legislative policymaking: a dynamic analysis,p03355,marco battaglini
401,"['H', 'E', 'D']",inefficiency in legislative policymaking: a dynamic analysis, p05015, stephen coate
402,['D'],"decision making in committees: transparency, reputation, and voting rules",p01909,gilat levy
403,['D'],bureaucrats or politicians? part i: a single policy task,p00101,alberto alesina
403,['D'],bureaucrats or politicians? part i: a single policy task, p01991, guido tabellini
404,['D'],the motivation and bias of bureaucrats,p00767,canice prendergast
405,['R'],"urban evolutions: the fast, the slow, and the still",p01910,gilles duranton
406,"['L', 'D']",market share dynamics and the persistence of leadership debate,p02656,john sutton
407,"['L', 'M', 'D']",internet advertising and the generalized second-price auction: selling billions of dollars worth of keywords,p00603,benjamin edelman
407,"['L', 'M', 'D']",internet advertising and the generalized second-price auction: selling billions of dollars worth of keywords, p03710, michael ostrovsky
407,"['L', 'M', 'D']",internet advertising and the generalized second-price auction: selling billions of dollars worth of keywords, p03720, michael schwarz
408,"['D', 'C']",credible sales mechanisms and intermediaries,p01224,david mcadams
408,"['D', 'C']",credible sales mechanisms and intermediaries, p03720, michael schwarz
409,"['L', 'E', 'C', 'J', 'D']",imprecision as an account of the preference reversal phenomenon,p01166,david butler
409,"['L', 'E', 'C', 'J', 'D']",imprecision as an account of the preference reversal phenomenon, p01955, graham loomes
410,"['L', 'J', 'E']",do workers work more if wages are high? evidence from a randomized field experiment,p01585,ernst fehr
410,"['L', 'J', 'E']",do workers work more if wages are high? evidence from a randomized field experiment, p03216, lorenz goette
411,"['J', 'H', 'K']",the effect of court-ordered hiring quotas on the composition and quality of police,p02884,justin mccrary
412,"['L', 'Q']",the economic impacts of climate change: evidence from agricultural output and random fluctuations in weather,p03684,michael greenstone
412,"['L', 'Q']",the economic impacts of climate change: evidence from agricultural output and random fluctuations in weather, p04014, olivier deschenes
413,['G'],what are stock investorsï¿½ï¿½ï¿½ï¿½ï¿½? actual historical returns? evidence from dollar-weighted returns,p02187,ilia dichev
414,"['O', 'E']",relative prices and relative prosperity,p00831,chang-tai hsieh
414,"['O', 'E']",relative prices and relative prosperity, p04212, peter klenow
415,"['E', 'D']",shocks and frictions in us business cycles: a bayesian dsge approach,p01779,frank smets
415,"['E', 'D']",shocks and frictions in us business cycles: a bayesian dsge approach, p04375, rafael wouters
416,['E'],generalizing the taylor principle,p01539,eric leeper
416,['E'],generalizing the taylor principle, p05350, troy davig
417,"['J', 'E']",the timing of monetary policy shocks,p01926,giovanni olivei
417,"['J', 'E']",the timing of monetary policy shocks, p04900, silvana tenreyro
418,"['J', 'E']",job displacement risk and the cost of business cycles,p05304,tom krebs
419,"['J', 'E', 'D']",learning your earning: are labor income shocks really very persistent?,p01660,fatih guvenen
420,"['L', 'L', 'C']",valuing new goods in a model with complementarity: online newspapers,p03575,matthew gentzkow
421,"['G', 'D']",estimating risk preferences from deductible choice,p00205,alma cohen
421,"['G', 'D']",estimating risk preferences from deductible choice, p03202, liran einav
422,"['I', 'H', 'I']",estimating the effects of private school vouchers in multidistrict economies,p03394,maria marta ferreyra
423,['D'],the pluralism of fairness ideals: an experimental approach,p00148,alexander cappelen
423,['D'],the pluralism of fairness ideals: an experimental approach, p00516, astri hole
423,['D'],the pluralism of fairness ideals: an experimental approach, p00648, bertil tungodden
423,['D'],the pluralism of fairness ideals: an experimental approach, p01573, erik sorensen
424,"['I', 'C']",efficient kidney exchange: coincidence of wants in markets with compatibility-based preferences,p00219,alvin roth
424,"['I', 'C']",efficient kidney exchange: coincidence of wants in markets with compatibility-based preferences, p05163, tayfun sonmez
424,"['I', 'C']",efficient kidney exchange: coincidence of wants in markets with compatibility-based preferences, p05380, utku unver
425,['D'],signaling character in electoral competition,p03882,navin kartik
425,['D'],signaling character in electoral competition, p04335, preston mcafee
426,"['H', 'D', 'C']",harmonization and side payments in political cooperation,p00562,bard harstad
427,"['Z', 'D']",meeting strangers and friends of friends: how random are social networks?,p00718,brian rogers
427,"['Z', 'D']",meeting strangers and friends of friends: how random are social networks?, p03578, matthew jackson
428,"['O', 'D']",contracts and technology adoption,p01145,daron acemoglu
428,"['O', 'D']",contracts and technology adoption, p01455, elhanan helpman
428,"['O', 'D']",contracts and technology adoption, p04327, pol antras
429,['D'],reference-dependent risk attitudes,p00680,botond koszegi
429,['D'],reference-dependent risk attitudes, p03587, matthew rabin
430,"['J', 'E']",mismatch,p04578,robert shimer
431,"['G', 'D']",subjective expectations and asset-return puzzles,p03528,martin weitzman
432,"['O', 'L', 'E']",on the cyclicality of research and development,p01820,gadi barlevy
433,['E'],"inventories and the business cycle: an equilibrium analysis of (s, s) policies",p00527,aubhik khan
433,['E'],"inventories and the business cycle: an equilibrium analysis of (s, s) policies", p02848, julia thomas
434,"['O', 'N']",markets in china and europe on the eve of the industrial revolution,p00792,carol shiue
434,"['O', 'N']",markets in china and europe on the eve of the industrial revolution, p05512, wolfgang keller
435,"['L', 'D']",projection bias in catalog orders,p03674,michael conlin
435,"['L', 'D']",projection bias in catalog orders, p05165," ""ted odonoghue"""
435,"['L', 'D']",projection bias in catalog orders, p05279, timothy vogelsang
436,"['L', 'D']",do markets reduce costs? assessing the impact of regulatory restructuring on us electric generation efficiency,p00815,catherine wolfram
436,"['L', 'D']",do markets reduce costs? assessing the impact of regulatory restructuring on us electric generation efficiency, p03022, kira fabrizio
436,"['L', 'D']",do markets reduce costs? assessing the impact of regulatory restructuring on us electric generation efficiency, p03857, nancy rose
437,"['J', 'D']","selection bias, demographic effects, and ability effects in common value auction experiments",p02606,john ham
437,"['J', 'D']","selection bias, demographic effects, and ability effects in common value auction experiments", p02616, john kagel
437,"['J', 'D']","selection bias, demographic effects, and ability effects in common value auction experiments", p03358, marco casari
438,"['L', 'K', 'D']","naked exclusion, efficient breach, and downstream competition",p00013,abraham wickelgren
438,"['L', 'K', 'D']","naked exclusion, efficient breach, and downstream competition", p02651, john simpson
439,"['L', 'G', 'D']",do vertical mergers facilitate upstream collusion?,p03251,lucy white
439,"['L', 'G', 'D']",do vertical mergers facilitate upstream collusion?, p05449, volker nocke
440,"['Z', 'D']",individual behavior and group membership,p00108,aldo rustichini
440,"['Z', 'D']",individual behavior and group membership, p01834, gary charness
440,"['Z', 'D']",individual behavior and group membership, p03243, luca rigotti
441,['D'],political bias and war,p03543,massimo morelli
441,['D'],political bias and war, p03578, matthew jackson
442,"['D', 'F']",a political-economy theory of trade agreements,p00320,andres rodriguez-clare
442,"['D', 'F']",a political-economy theory of trade agreements, p01925, giovanni maggi
443,['D'],life-cycle prices and production,p01564,erik hurst
443,['D'],life-cycle prices and production, p03435, mark aguiar
444,"['O', 'Z', 'K', 'D']","theft, gift-giving, and trustworthiness: honesty is its own reward in rural paraguay",p03121,laura schechter
445,"['J', 'H', 'I']",child protection and child outcomes: measuring the effects of foster care,p02761,joseph doyle
446,"['O', 'L', 'O', 'F']","trade liberalization, intermediate inputs, and productivity: evidence from indonesia",p02809,jozef konings
446,"['O', 'L', 'O', 'F']","trade liberalization, intermediate inputs, and productivity: evidence from indonesia", p03531, mary amiti
447,['L'],establishment size dynamics in the aggregate economy,p01599,esteban rossi-hansberg
447,['L'],establishment size dynamics in the aggregate economy, p03478, mark wright
448,"['G', 'L', 'J', 'E']",demographics and industry returns,p02801,joshua pollet
448,"['G', 'L', 'J', 'E']",demographics and industry returns, p04976, stefano dellavigna
449,"['O', 'L', 'L', 'K']",antitrust in innovative industries,p02194,ilya segal
449,"['O', 'L', 'L', 'K']",antitrust in innovative industries, p03733, michael whinston
450,['C'],"fatal attraction: salience, naãƒâ¯vetãƒâ©, and sophistication in experimental hide-and-seek games",p03852,nagore iriberri
450,['C'],"fatal attraction: salience, naãƒâ¯vetãƒâ©, and sophistication in experimental hide-and-seek games", p05428, vincent crawford
451,"['J', 'C']","group reputations, stereotypes, and cooperation in a repeated labor market",p04144,paul healy
452,"['L', 'D']",does price matter in charitable giving? evidence from a large-scale natural field experiment,p01280,dean karlan
452,"['L', 'D']",does price matter in charitable giving? evidence from a large-scale natural field experiment, p02624, john list
453,"['L', 'D']",impossibility of collusion under imperfect monitoring with flexible production,p00373,andrzej skrzypacz
453,"['L', 'D']",impossibility of collusion under imperfect monitoring with flexible production, p05641, yuliy sannikov
454,['D'],sequentially rationalizable choice,p03367,marco mariotti
454,['D'],sequentially rationalizable choice, p04073, paola manzini
455,"['L', 'M', 'D']",vertical control of price and inventory,p02051,harish krishnan
455,"['L', 'M', 'D']",vertical control of price and inventory, p04407, ralph winter
456,"['D', 'C']",individual preferences for giving,p01106,daniel markovits
456,"['D', 'C']",individual preferences for giving, p04438, raymond fisman
456,"['D', 'C']",individual preferences for giving, p04840, shachar kariv
457,['D'],consensus building: how to persuade a group,p00632,bernard caillaud
457,['D'],consensus building: how to persuade a group, p02392, jean tirole
458,"['G', 'D', 'C']",traders' expectations in asset markets: experimental evidence,p00851,charles noussair
458,"['G', 'D', 'C']",traders' expectations in asset markets: experimental evidence, p01579, ernan haruvy
458,"['G', 'D', 'C']",traders' expectations in asset markets: experimental evidence, p05565, yaron lahav
459,"['G', 'D']",consistency and heterogeneity of individual behavior under uncertainty,p01374,douglas gale
459,"['G', 'D']",consistency and heterogeneity of individual behavior under uncertainty, p04438, raymond fisman
459,"['G', 'D']",consistency and heterogeneity of individual behavior under uncertainty, p04840, shachar kariv
459,"['G', 'D']",consistency and heterogeneity of individual behavior under uncertainty, p05118, syngjoo choi
460,['D'],deal or no deal? decision making under risk in a large-payoff game show,p01983,guido baltussen
460,['D'],deal or no deal? decision making under risk in a large-payoff game show, p03493, martijn van den assem
460,['D'],deal or no deal? decision making under risk in a large-payoff game show, p04508, richard thaler
460,['D'],deal or no deal? decision making under risk in a large-payoff game show, p05190, thierry post
461,"['D', 'C']",rational expectations in games,p02265,jacques dreze
461,"['D', 'C']",rational expectations in games, p04521, robert aumann
462,['D'],asymmetric auctions with resale,p02215,isa hafalir
462,['D'],asymmetric auctions with resale, p05419, vijay krishna
463,['D'],"optimal gerrymandering: sometimes pack, but never crack",p02598,john friedman
463,['D'],"optimal gerrymandering: sometimes pack, but never crack", p04494, richard holden
464,"['L', 'M', 'D']",when does coordination require centralization?,p03949,niko matouschek
464,"['L', 'M', 'D']",when does coordination require centralization?, p04475, ricardo alonso
464,"['L', 'M', 'D']",when does coordination require centralization?, p05520, wouter dessein
465,"['D', 'C']",on the empirical content of quantal response equilibrium,p00188,ali hortacsu
465,"['D', 'C']",on the empirical content of quantal response equilibrium, p01978, grigory kosenok
465,"['D', 'C']",on the empirical content of quantal response equilibrium, p04261, philip haile
466,"['H', 'E', 'D']","a dynamic theory of public spending, taxation, and debt",p03355,marco battaglini
466,"['H', 'E', 'D']","a dynamic theory of public spending, taxation, and debt", p05015, stephen coate
467,['L'],"vertical arrangements, market structure, and competition: an analysis of restructured us electricity markets",p00820,celeste saravia
467,['L'],"vertical arrangements, market structure, and competition: an analysis of restructured us electricity markets", p01577, erin mansur
467,['L'],"vertical arrangements, market structure, and competition: an analysis of restructured us electricity markets", p02287, james bushnell
468,['D'],"persistence of power, elites, and institutions",p01145,daron acemoglu
468,['D'],"persistence of power, elites, and institutions", p02321, james robinson
469,"['Z', 'D', 'C']","betrayal aversion: evidence from brazil, china, oman, switzerland, turkey, and the united states",p00596,benedikt herrmann
469,"['Z', 'D', 'C']","betrayal aversion: evidence from brazil, china, oman, switzerland, turkey, and the united states", p01700, fiona greig
469,"['Z', 'D', 'C']","betrayal aversion: evidence from brazil, china, oman, switzerland, turkey, and the united states", p02213, iris bohnet
469,"['Z', 'D', 'C']","betrayal aversion: evidence from brazil, china, oman, switzerland, turkey, and the united states", p04510, richard zeckhauser
470,"['J', 'D']",female socialization: how daughters affect their legislator fathers,p01392,ebonya washington
471,"['Z', 'J']",the mystery of monogamy,p00538,avi simhon
471,"['Z', 'J']",the mystery of monogamy, p01534, eric gould
471,"['Z', 'J']",the mystery of monogamy, p04026, omer moav
472,"['E', 'F']",an equilibrium model of global imbalances and low interest rates,p01499,emmanuel farhi
472,"['E', 'F']",an equilibrium model of global imbalances and low interest rates, p04310, pierre-olivier gourinchas
472,"['E', 'F']",an equilibrium model of global imbalances and low interest rates, p04476, ricardo caballero
473,"['L', 'D']","reallocation, firm turnover, and efficiency: selection on productivity or profitability?",p00828,chad syverson
473,"['L', 'D']","reallocation, firm turnover, and efficiency: selection on productivity or profitability?", p02605, john haltiwanger
473,"['L', 'D']","reallocation, firm turnover, and efficiency: selection on productivity or profitability?", p03247, lucia foster
474,['E'],the time-varying volatility of macroeconomic fluctuations,p00112,alejandro justiniano
474,['E'],the time-varying volatility of macroeconomic fluctuations, p01918, giorgio primiceri
475,"['L', 'M', 'G']",the difference that ceos make: an assignment model approach,p03480,marko tervio
476,"['H', 'I']",what's the matter with tie-breaking? improving efficiency in school choice,p00552,aytek erdil
476,"['H', 'I']",what's the matter with tie-breaking? improving efficiency in school choice, p02025, haluk ergin
477,"['O', 'E', 'F']",default risk and income fluctuations in emerging economies,p01042,cristina arellano
478,"['G', 'D']",do wealth fluctuations generate time-varying risk aversion? micro-evidence on individuals,p03482,markus brunnermeier
478,"['G', 'D']",do wealth fluctuations generate time-varying risk aversion? micro-evidence on individuals, p04965, stefan nagel
479,"['H', 'G']",temporary investment tax incentives: theory with evidence from bonus depreciation,p00947,christopher house
479,"['H', 'G']",temporary investment tax incentives: theory with evidence from bonus depreciation, p03588, matthew shapiro
480,['D'],how the electoral college influences campaigns and policy: the probability of being florida,p01259,david stromberg
481,"['H', 'D', 'Q']",do people vote with their feet? an empirical test of tiebout,p04417,randall walsh
481,"['H', 'D', 'Q']",do people vote with their feet? an empirical test of tiebout, p04949, spencer banzhaf
482,"['D', 'C']",information aggregation in polls,p02630,john morgan
482,"['D', 'C']",information aggregation in polls, p04290, phillip stocken
483,"['L', 'D']",stability in supply chain networks,p03710,michael ostrovsky
484,"['D', 'C']",thar she blows: can bubbles be rekindled with experienced subjects?,p01236,david porter 
484,"['D', 'C']",thar she blows: can bubbles be rekindled with experienced subjects?, p04470, reshmaan hussam
484,"['D', 'C']",thar she blows: can bubbles be rekindled with experienced subjects?, p05404, vernon smith
485,['C'],stationary concepts for experimental 2x2-games,p04455,reinhard selten
485,['C'],stationary concepts for experimental 2x2-games, p05248, thorsten chmura
486,"['L', 'N', 'Q', 'O', 'D']","contracts, hold-up, and exports: textiles and opium in colonial india",p00253,anand swamy
486,"['L', 'N', 'Q', 'O', 'D']","contracts, hold-up, and exports: textiles and opium in colonial india", p04362, rachel kranton
487,['D'],pride and prejudice: the human side of incentive theory,p03295,magnus johannesson
487,['D'],pride and prejudice: the human side of incentive theory, p05336, tore ellingsen
488,"['P', 'D']","historical property rights, sociality, and the emergence of impersonal exchange in long-distance trade",p00571,bart wilson
488,"['P', 'D']","historical property rights, sociality, and the emergence of impersonal exchange in long-distance trade", p01565, erik kimbrough
488,"['P', 'D']","historical property rights, sociality, and the emergence of impersonal exchange in long-distance trade", p05404, vernon smith
489,"['O', 'G']",credit elasticities in less-developed economies: implications for microfinance,p01280,dean karlan
489,"['O', 'G']",credit elasticities in less-developed economies: implications for microfinance, p02711, jonathan zinman
490,"['G', 'D']",leverage cycles and the anxious economy,p00248,ana fostel
490,"['G', 'D']",leverage cycles and the anxious economy, p02600, john geanakoplos
491,"['L', 'D']",competition and price variation when consumers are loss averse,p00680,botond koszegi
491,"['L', 'D']",competition and price variation when consumers are loss averse, p04145, paul heidhues
492,"['D', 'C']",behavioral equilibrium in economies with adverse selection,p02175,ignacio esponda
493,"['Z', 'C']","language, meaning, and games: a model of communication, coordination, and evolution",p02728,jorgen weibull
493,"['Z', 'C']","language, meaning, and games: a model of communication, coordination, and evolution", p04977, stefano demichelis
494,['D'],the brain as a hierarchical organization,p02221,isabelle brocas
494,['D'],the brain as a hierarchical organization, p02820, juan carrillo
495,"['O', 'L', 'K', 'D']",how strong are weak patents?,p00770,carl shapiro
495,"['O', 'L', 'K', 'D']",how strong are weak patents?, p02762, joseph farrell
496,"['O', 'N', 'G']",does innovation cause stock market runups? evidence from the great crash,p05305,tom nicholas
497,"['O', 'L', 'J']",the unequal effects of liberalization: evidence from dismantling the license raj in india,p01655,fabrizio zilibotti
497,"['O', 'L', 'J']",the unequal effects of liberalization: evidence from dismantling the license raj in india, p04276, philippe aghion
497,"['O', 'L', 'J']",the unequal effects of liberalization: evidence from dismantling the license raj in india, p04612, robin burgess
497,"['O', 'L', 'J']",the unequal effects of liberalization: evidence from dismantling the license raj in india, p05030, stephen redding
498,"['L', 'G', 'E']",tracing the impact of bank liquidity shocks: evidence from an emerging market,p00512,asim ijaz khwaja
498,"['L', 'G', 'E']",tracing the impact of bank liquidity shocks: evidence from an emerging market, p00520, atif mian
499,['C'],the power of focal points is limited: even minute payoff asymmetry may yield large coordination failures,p05376,uri gneezy
499,['C'],the power of focal points is limited: even minute payoff asymmetry may yield large coordination failures, p05428, vincent crawford
499,['C'],the power of focal points is limited: even minute payoff asymmetry may yield large coordination failures, p05648, yuval rottenstreich
500,"['Z', 'D']",optimal contracting with endogenous social norms,p04135,paul fischer
500,"['Z', 'D']",optimal contracting with endogenous social norms, p05051, steven huddart
501,"['N', 'D', 'E', 'E']",great expectations and the end of the depression,p01845,gauti eggertsson
502,"['J', 'D']",explaining changes in female labor supply in a life-cycle model,p02027,hamish low
502,"['J', 'D']",explaining changes in female labor supply in a life-cycle model, p04030, orazio attanasio
502,"['J', 'D']",explaining changes in female labor supply in a life-cycle model, p05438, virginia sanchez-marcos
503,"['O', 'D']",giffen behavior and subsistence consumption,p03973,nolan miller
503,"['O', 'D']",giffen behavior and subsistence consumption, p04550, robert jensen
504,"['O', 'N', 'D']",land and power: theory and evidence from chile,p02321,james robinson
504,"['O', 'N', 'D']",land and power: theory and evidence from chile, p02404, jean-marie baland
505,"['N', 'R', 'F']",the costs of remoteness: evidence from german division and reunification,p01117,daniel sturm
505,"['N', 'R', 'F']",the costs of remoteness: evidence from german division and reunification, p05030, stephen redding
506,"['E', 'D']",the response of household saving to the large shock of german reunification,p03919,nicola fuchs-schundeln
507,"['O', 'I']","the demand for, and impact of, learning hiv status",p04451,rebecca thornton
508,"['J', 'I']",does job corps work? impact findings from the national job corps study,p02578,john burghardt
508,"['J', 'I']",does job corps work? impact findings from the national job corps study, p04241, peter schochet
508,"['J', 'I']",does job corps work? impact findings from the national job corps study, p04865, sheena mcconnell
509,"['E', 'D']",consumption inequality and partial insurance,p02168,ian preston
509,"['E', 'D']",consumption inequality and partial insurance, p03260, luigi pistaferri
509,"['E', 'D']",consumption inequality and partial insurance, p04486, richard blundell
510,['J'],liquidity and insurance for the unemployed,p02244,ivan werning
510,['J'],liquidity and insurance for the unemployed, p04578, robert shimer
511,"['L', 'G']",zombie lending and depressed restructuring in japan,p00381,anil kashyap
511,"['L', 'G']",zombie lending and depressed restructuring in japan, p04476, ricardo caballero
511,"['L', 'G']",zombie lending and depressed restructuring in japan, p05132, takeo hoshi
512,['F'],trading tasks: a simple theory of offshoring,p01599,esteban rossi-hansberg
512,['F'],trading tasks: a simple theory of offshoring, p01851, gene grossman
513,['F'],"pricing-to-market, trade costs, and international relative prices",p00327,andrew atkeson
513,['F'],"pricing-to-market, trade costs, and international relative prices", p00462, ariel burstein
514,['F'],optimal tariffs and market power: the evidence,p00895,christian broda
514,['F'],optimal tariffs and market power: the evidence, p01263, david weinstein
514,['F'],optimal tariffs and market power: the evidence, p03985, nuno limao
515,"['G', 'D']",stocks as lotteries: the implications of probability weighting for security prices,p03782,ming huang
515,"['G', 'D']",stocks as lotteries: the implications of probability weighting for security prices, p03901, nicholas barberis
516,['E'],"trend inflation, indexation, and inflation persistence in the new keynesian phillips curve",p00458,argia sbordone
516,['E'],"trend inflation, indexation, and inflation persistence in the new keynesian phillips curve", p05271, timothy cogley
517,"['M', 'D']",contextual inference in markets: on the informational content of product lines,p01498,emir kamenica
518,"['H', 'E']",taxing capital? not a bad idea after all!,p01334,dirk krueger
518,"['H', 'E']",taxing capital? not a bad idea after all!, p02814, juan carlos conesa
518,"['H', 'E']",taxing capital? not a bad idea after all!, p04709, sagiri kitao
519,"['G', 'D']",liquidity constraints and imperfect information in subprime lending,p02696,jonathan levin
519,"['G', 'D']",liquidity constraints and imperfect information in subprime lending, p03202, liran einav
519,"['G', 'D']",liquidity constraints and imperfect information in subprime lending, p05480, william adams
520,"['H', 'E', 'D']","estate taxation, entrepreneurship, and wealth",p03357,marco cagetti
520,"['H', 'E', 'D']","estate taxation, entrepreneurship, and wealth", p03398, mariacristina de nardi
521,"['L', 'J', 'M']",peers at work,p00175,alexandre mas
521,"['L', 'J', 'M']",peers at work, p01508, enrico moretti
522,"['J', 'O', 'D']","women, wealth, and mobility",p03163,lena edlund
522,"['J', 'O', 'D']","women, wealth, and mobility", p05510, wojciech kopczuk
523,"['O', 'I', 'D']","class-size caps, sorting, and the regression-discontinuity design",p01552,eric verhoogen
523,"['O', 'I', 'D']","class-size caps, sorting, and the regression-discontinuity design", p03767, miguel urquiola
524,"['H', 'D']",taxes and employment subsidies in optimal redistribution programs,p00837,charles blackorby
524,"['H', 'D']",taxes and employment subsidies in optimal redistribution programs, p01312, dezso szalay
524,"['H', 'D']",taxes and employment subsidies in optimal redistribution programs, p04129, paul beaudry
525,"['E', 'E']","rare disasters, asset prices, and welfare costs",p04522,robert barro
526,"['L', 'D']",cognition and incomplete contracts,p02392,jean tirole
527,"['Z', 'D']",the value of groups,p01098,daniel john zizzo
527,"['Z', 'D']",the value of groups, p04859, shaun hargreaves heap
528,"['K', 'I']","the war on drugs: methamphetamine, public health, and crime",p00779,carlos dobkin
528,"['K', 'I']","the war on drugs: methamphetamine, public health, and crime", p03855, nancy nicosia
529,['E'],sticky prices and monetary policy: evidence from disaggregated us data,p02189,ilian mihov
529,['E'],sticky prices and monetary policy: evidence from disaggregated us data, p02387, jean boivin
529,['E'],sticky prices and monetary policy: evidence from disaggregated us data, p03331, marc giannoni
530,['D'],"risk, ambiguity, and the rank-dependence axioms",p03460,mark machina
531,"['L', 'G', 'I']",insurer-provider networks in the medical care market,p02936,katherine ho
532,"['Z', 'D', 'C']",group identity and social preferences,p04871,sherry xin li
532,"['Z', 'D', 'C']",group identity and social preferences, p05556, yan chen
533,"['L', 'D']",bureaucratic minimal squawk behavior: theory and evidence from regulatory agencies,p00991,clare leaver
534,['C'],incentives and stability in large two-sided matching markets,p01799,fuhito kojima
534,['C'],incentives and stability in large two-sided matching markets, p04094, parag pathak
535,['G'],economic catastrophe bonds,p01574,erik stafford
535,['G'],economic catastrophe bonds, p02278, jakud jurek
535,['G'],economic catastrophe bonds, p02791, joshua coval
536,"['L', 'H', 'D']",distributional and efficiency impacts of increased us gasoline taxes,p00435,antonio bento
536,"['L', 'H', 'D']",distributional and efficiency impacts of increased us gasoline taxes, p03143, lawrence goulder
536,"['L', 'H', 'D']",distributional and efficiency impacts of increased us gasoline taxes, p03457, mark jacobsen
536,"['L', 'H', 'D']",distributional and efficiency impacts of increased us gasoline taxes, p04634, roger von haefen
537,"['L', 'R', 'R']",should urban transit subsidies be reduced?,p02167,ian parry
537,"['L', 'R', 'R']",should urban transit subsidies be reduced?, p02985, kenneth small
538,"['P', 'Q']","trade, tragedy, and the commons",p00705,brian copeland
538,"['P', 'Q']","trade, tragedy, and the commons", p04783, scott taylor
539,"['L', 'K', 'D']",strategic leniency and cartel enforcement,p03872,nathan miller
540,"['E', 'D']",optimal sticky prices under rational inattention,p00575,bartosz mackowiak
540,"['E', 'D']",optimal sticky prices under rational inattention, p03795, mirko wiederholt
541,"['J', 'E']","the young, the old, and the restless: demographics and business cycle volatility",p02095,henry siu
541,"['J', 'E']","the young, the old, and the restless: demographics and business cycle volatility", p03965, nir jaimovich
542,['D'],tricks with hicks: the easi demand system,p00490,arthur lewbel
542,['D'],tricks with hicks: the easi demand system, p03052, krishna pendakur
543,"['D', 'C']",observational learning: evidence from a randomized natural field experiment,p02031,hanming fang
543,"['D', 'C']",observational learning: evidence from a randomized natural field experiment, p02128, hongbin cai
543,"['D', 'C']",observational learning: evidence from a randomized natural field experiment, p05651, yuyu chen
544,['M'],misselling through agents,p03369,marco ottaviani
544,['M'],misselling through agents, p04647, roman inderst
545,['D'],reference-dependent consumption plans,p00680,botond koszegi
